area_type,area_name,area_short_name,area_match_name,period,0-14,15-39,40-64,65+,total,median_age
regc,Northland Region,Northland,northland,1996,37200,46600,39900,16900,140700,33.7
regc,Northland Region,Northland,northland,2001,36300,43200,45800,19100,144400,36.6
regc,Northland Region,Northland,northland,2006,35300,43500,51800,22100,152700,38.8
regc,Northland Region,Northland,northland,2013,36400,42900,56500,28900,164700,41.5
regc,Northland Region,Northland,northland,2018,38600,50100,61200,36000,185800,42.3
regc,Northland Region,Northland,northland,2023,40100,56000,64300,43800,204200,42.8
regc,Northland Region,Northland,northland,2028,39200,57700,65000,52200,214100,44
regc,Northland Region,Northland,northland,2033,38600,57700,67200,59100,222600,45.4
regc,Northland Region,Northland,northland,2038,38800,57700,68700,64600,229800,46.7
regc,Northland Region,Northland,northland,2043,39200,58700,70800,67300,236000,47.7
regc,Northland Region,Northland,northland,2048,39900,58800,73600,69000,241300,48.2
regc,Auckland Region,Auckland,auckland,1996,255600,451400,296500,112300,1115800,32.1
regc,Auckland Region,Auckland,auckland,2001,277800,469900,351000,119600,1218300,33.2
regc,Auckland Region,Auckland,auckland,2006,298200,525100,415600,134000,1373000,33.8
regc,Auckland Region,Auckland,auckland,2013,311500,539400,472500,169800,1493200,34.8
regc,Auckland Region,Auckland,auckland,2018,324100,630300,503400,197000,1654800,34.6
regc,Auckland Region,Auckland,auckland,2023,324700,608400,523300,235900,1692400,36.6
regc,Auckland Region,Auckland,auckland,2028,308300,635000,539100,283100,1765500,37.9
regc,Auckland Region,Auckland,auckland,2033,301900,654100,572700,330700,1859400,39.1
regc,Auckland Region,Auckland,auckland,2038,304800,670000,599500,374400,1948700,40
regc,Auckland Region,Auckland,auckland,2043,313600,686800,634300,399400,2034100,40.6
regc,Auckland Region,Auckland,auckland,2048,322800,695700,669400,426100,2114000,41.3
regc,Waikato Region,Waikato,waikato,1996,89500,136100,94600,38600,358800,31.8
regc,Waikato Region,Waikato,waikato,2001,89500,128700,107600,42500,368400,33.8
regc,Waikato Region,Waikato,waikato,2006,88700,133000,122600,48900,393200,35.5
regc,Waikato Region,Waikato,waikato,2013,92500,134500,136100,61600,424600,37.1
regc,Waikato Region,Waikato,waikato,2018,98900,154900,146900,74800,475600,37.1
regc,Waikato Region,Waikato,waikato,2023,104300,170100,155100,90500,519900,37.9
regc,Waikato Region,Waikato,waikato,2028,104600,176500,161700,106300,549000,39.2
regc,Waikato Region,Waikato,waikato,2033,105100,176700,173300,119500,574600,40.7
regc,Waikato Region,Waikato,waikato,2038,105400,179700,180500,132100,597700,41.8
regc,Waikato Region,Waikato,waikato,2043,106300,185200,187800,139800,619100,42.5
