talb_code,talb_name,talb_short_name,talb_match_name,regc_code,regc_name,regc_short_name,regc_match_name,regc_match_perc,island
00100,Far North District,Far North,far north,1,Northland Region,Northland,northland,1,North Island
00200,Whangarei District,Whangarei,whangarei,1,Northland Region,Northland,northland,1,North Island
00300,Kaipara District,Kaipara,kaipara,1,Northland Region,Northland,northland,1,North Island
01100,Thames-Coromandel District,Thames-Coromandel,thames coromandel,3,Waikato Region,Waikato,waikato,1,North Island
01200,Hauraki District,Hauraki,hauraki,3,Waikato Region,Waikato,waikato,1,North Island
01300,Waikato District,Waikato,waikato,3,Waikato Region,Waikato,waikato,1,North Island
01500,Matamata-Piako District,Matamata-Piako,matamata piako,3,Waikato Region,Waikato,waikato,1,North Island
01600,Hamilton City,Hamilton,hamilton,3,Waikato Region,Waikato,waikato,1,North Island
01700,Waipa District,Waipa,waipa,3,Waikato Region,Waikato,waikato,1,North Island
01800,Ōtorohanga District,Ōtorohanga,otorohanga,3,Waikato Region,Waikato,waikato,1,North Island
01900,South Waikato District,South Waikato,south waikato,3,Waikato Region,Waikato,waikato,1,North Island
02000,Waitomo District,Waitomo,waitomo,3,Waikato Region,Waikato,waikato,0.9487,North Island
02100,Taupo District,Taupo,taupo,3,Waikato Region,Waikato,waikato,0.73740000000000006,North Island
02200,Western Bay of Plenty District,Western Bay of Plenty,western bay of plenty,4,Bay of Plenty Region,Bay of Plenty,bay of plenty,1,North Island
02300,Tauranga City,Tauranga,tauranga,4,Bay of Plenty Region,Bay of Plenty,bay of plenty,1,North Island
02400,Rotorua District,Rotorua,rotorua,4,Bay of Plenty Region,Bay of Plenty,bay of plenty,0.6152,North Island
02500,Whakatane District,Whakatane,whakatane,4,Bay of Plenty Region,Bay of Plenty,bay of plenty,1,North Island
02600,Kawerau District,Kawerau,kawerau,4,Bay of Plenty Region,Bay of Plenty,bay of plenty,1,North Island
02700,Ōpōtiki District,Ōpōtiki,opotiki,4,Bay of Plenty Region,Bay of Plenty,bay of plenty,1,North Island
02800,Gisborne District,Gisborne,gisborne,5,Gisborne Region,Gisborne,gisborne,1,North Island
02900,Wairoa District,Wairoa,wairoa,6,Hawke's Bay Region,Hawke's Bay,hawkes bay,1,North Island
03000,Hastings District,Hastings,hastings,6,Hawke's Bay Region,Hawke's Bay,hawkes bay,1,North Island
03100,Napier City,Napier,napier,6,Hawke's Bay Region,Hawke's Bay,hawkes bay,1,North Island
