TA2022_V1_00,TA2022_V1_00_NAME,TA2022_V1_00_NAME_ASCII,REGC2022_V1_00,REGC2022_V1_00_NAME,REGC2022_V1_00_NAME_ASCII,MATCH_PERC,ISLAND
1,Far North District,Far North District,1,Northland Region,Northland Region,1,North Island
2,Whangarei District,Whangarei District,1,Northland Region,Northland Region,1,North Island
3,Kaipara District,Kaipara District,1,Northland Region,Northland Region,1,North Island
11,Thames-Coromandel District,Thames-Coromandel District,3,Waikato Region,Waikato Region,1,North Island
12,Hauraki District,Hauraki District,3,Waikato Region,Waikato Region,1,North Island
13,Waikato District,Waikato District,3,Waikato Region,Waikato Region,1,North Island
15,Matamata-Piako District,Matamata-Piako District,3,Waikato Region,Waikato Region,1,North Island
16,Hamilton City,Hamilton City,3,Waikato Region,Waikato Region,1,North Island
17,Waipa District,Waipa District,3,Waikato Region,Waikato Region,1,North Island
18,Ōtorohanga District,Otorohanga District,3,Waikato Region,Waikato Region,1,North Island
19,South Waikato District,South Waikato District,3,Waikato Region,Waikato Region,1,North Island
20,Waitomo District,Waitomo District,3,Waikato Region,Waikato Region,0.9487,North Island
21,Taupo District,Taupo District,3,Waikato Region,Waikato Region,0.7374,North Island
22,Western Bay of Plenty District,Western Bay of Plenty District,4,Bay of Plenty Region,Bay of Plenty Region,1,North Island
23,Tauranga City,Tauranga City,4,Bay of Plenty Region,Bay of Plenty Region,1,North Island
24,Rotorua District,Rotorua District,4,Bay of Plenty Region,Bay of Plenty Region,0.6152,North Island
25,Whakatane District,Whakatane District,4,Bay of Plenty Region,Bay of Plenty Region,1,North Island
26,Kawerau District,Kawerau District,4,Bay of Plenty Region,Bay of Plenty Region,1,North Island
27,Ōpōtiki District,Opotiki District,4,Bay of Plenty Region,Bay of Plenty Region,1,North Island
28,Gisborne District,Gisborne District,5,Gisborne Region,Gisborne Region,1,North Island
29,Wairoa District,Wairoa District,6,Hawke's Bay Region,Hawke's Bay Region,1,North Island
30,Hastings District,Hastings District,6,Hawke's Bay Region,Hawke's Bay Region,1,North Island
31,Napier City,Napier City,6,Hawke's Bay Region,Hawke's Bay Region,1,North Island
32,Central Hawke's Bay District,Central Hawke's Bay District,6,Hawke's Bay Region,Hawke's Bay Region,1,North Island
33,New Plymouth District,New Plymouth District,7,Taranaki Region,Taranaki Region,1,North Island
34,Stratford District,Stratford District,7,Taranaki Region,Taranaki Region,0.6813,North Island
35,South Taranaki District,South Taranaki District,7,Taranaki Region,Taranaki Region,1,North Island
36,Ruapehu District,Ruapehu District,8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,1,North Island
37,Whanganui District,Whanganui District,8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,1,North Island
38,Rangitikei District,Rangitikei District,8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,0.8637,North Island
39,Manawatu District,Manawatu District,8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,1,North Island
40,Palmerston North City,Palmerston North City,8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,1,North Island
41,Tararua District,Tararua District,8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,0.9842,North Island
42,Horowhenua District,Horowhenua District,8,Manawatū-Whanganui Region,Manawatu-Whanganui Region,1,North Island
43,Kapiti Coast District,Kapiti Coast District,9,Wellington Region,Wellington Region,1,North Island
44,Porirua City,Porirua City,9,Wellington Region,Wellington Region,1,North Island
45,Upper Hutt City,Upper Hutt City,9,Wellington Region,Wellington Region,1,North Island
46,Lower Hutt City,Lower Hutt City,9,Wellington Region,Wellington Region,1,North Island
47,Wellington City,Wellington City,9,Wellington Region,Wellington Region,1,North Island
48,Masterton District,Masterton District,9,Wellington Region,Wellington Region,1,North Island
49,Carterton District,Carterton District,9,Wellington Region,Wellington Region,1,North Island
