OBJECTID,REGC2022_V1_00,REGC2022_V1_00_NAME,REGC2022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
1,01,Northland Region,Northland Region,12507.88841,12520.23623,3311690.028,12520221538
2,02,Auckland Region,Auckland Region,4941.127913,4942.194185,2887368.801,4942186631
3,03,Waikato Region,Waikato Region,23901.09146,24579.77057,2181389.898,24579763737
4,04,Bay of Plenty Region,Bay of Plenty Region,12071.99801,12281.83091,1419062.428,12281830012
5,05,Gisborne Region,Gisborne Region,8385.292752,8385.292752,690772.0421,8385292761
6,06,Hawke's Bay Region,Hawke's Bay Region,14139.14579,14190.9431,953589.0566,14190937629
7,07,Taranaki Region,Taranaki Region,7254.507305,7254.507305,534461.9894,7254504628
8,08,Manawatū-Whanganui Region,Manawatu-Whanganui Region,22220.66606,22220.66606,1118054.633,22220633994
9,09,Wellington Region,Wellington Region,8049.437805,8119.525796,679592.5016,8119564364
10,12,West Coast Region,West Coast Region,23245.65359,23321.67213,1719930.982,23321674319
11,13,Canterbury Region,Canterbury Region,44503.87923,45207.75897,1855464.411,45207763313
12,14,Otago Region,Otago Region,31186.33066,31904.6442,1509317.036,31904646629
13,15,Southland Region,Southland Region,31218.2689,31869.55055,4116785.754,31869535774
14,16,Tasman Region,Tasman Region,9616.361874,9649.872029,1054257.666,9649865895
15,17,Nelson Region,Nelson Region,422.1936008,422.1936008,174271.2272,422192865.9
16,18,Marlborough Region,Marlborough Region,10457.792,10470.58368,2306370.522,10470597717
17,99,Area Outside Region,Area Outside Region,798.8411809,813.2317394,490275.7697,813232640.6
