name,year,a0014,a1539,a4064,a6500,atot,p0014,p1539,p4064,p6500,medage
Far North district,2018,14500,17600,22800,13000,67900,21.4,25.9,33.6,19.1,42.8
Far North district,2019,14600,18000,23000,13600,69200,21.1,26.1,33.3,19.6,42.9
Far North district,2020,14800,18800,23500,14200,71300,20.8,26.4,32.9,19.9,42.9
Far North district,2021,15000,19200,23500,14800,72600,20.7,26.5,32.4,20.5,43
Whangārei district,2018,19500,26600,30300,17800,94100,20.7,28.2,32.2,18.9,41.1
Whangārei district,2019,19600,27200,30600,18300,95600,20.5,28.4,32,19.1,41.1
Whangārei district,2020,19800,28000,30900,19000,97700,20.2,28.7,31.6,19.5,41.1
Whangārei district,2021,20000,28500,31000,19900,99400,20.1,28.7,31.2,20,41.2
Kaipara district,2018,4600,5900,8100,5200,23700,19.2,24.8,33.9,22.1,45.7
Kaipara district,2019,4600,6000,8100,5500,24300,19,24.9,33.4,22.7,46
Kaipara district,2020,4800,6300,8300,5900,25300,19.1,24.7,32.9,23.3,46.2
Kaipara district,2021,4900,6400,8400,6200,26000,18.9,24.7,32.5,23.9,46.6
Auckland,2018,324100,630300,503400,197000,1654800,19.6,38.1,30.4,11.9,34.6
Auckland,2019,328600,638300,510500,203900,1681300,19.5,38,30.4,12.1,34.9
Auckland,2020,333500,649300,520300,213700,1716900,19.4,37.8,30.3,12.4,35.1
Auckland,2021,333300,638200,523300,220800,1715600,19.4,37.2,30.5,12.9,35.6
Rodney local board area,2018,13600,19400,24700,11400,69100,19.6,28,35.8,16.6,42
Rodney local board area,2019,14000,20000,25300,12000,71200,19.6,28,35.5,16.8,41.9
Rodney local board area,2020,14500,21200,26200,12600,74400,19.4,28.4,35.1,17,41.7
Rodney local board area,2021,14900,21800,26700,13200,76700,19.5,28.4,34.9,17.2,41.7
Hibiscus and Bays local board area,2018,20000,32900,36600,18900,108500,18.4,30.4,33.7,17.4,41
Hibiscus and Bays local board area,2019,20700,33400,37300,19600,110900,18.7,30.1,33.6,17.6,40.9
Hibiscus and Bays local board area,2020,21100,33800,38300,20400,113600,18.6,29.8,33.7,18,41.2
Hibiscus and Bays local board area,2021,21200,33600,38700,21100,114500,18.5,29.4,33.8,18.4,41.6
Upper Harbour local board area,2018,12000,25900,21000,8000,66800,18,38.7,31.4,11.9,35.7
Upper Harbour local board area,2019,12400,26300,21400,8500,68700,18,38.3,31.2,12.4,36.2
Upper Harbour local board area,2020,12900,26600,21900,9300,70800,18.3,37.7,31,13.1,36.7
Upper Harbour local board area,2021,13100,26300,22100,9800,71300,18.4,36.9,30.9,13.8,37.2
Kaipātiki local board area,2018,17000,37900,27300,10700,92900,18.3,40.8,29.4,11.5,34.7
Kaipātiki local board area,2019,17000,37800,27500,10900,93300,18.3,40.5,29.5,11.7,35
Kaipātiki local board area,2020,17200,37600,27700,11300,93800,18.3,40.1,29.6,12,35.3
Kaipātiki local board area,2021,17000,36200,27700,11500,92400,18.4,39.2,30,12.4,35.8
Devonport-Takapuna local board area,2018,10600,20300,20000,9600,60500,17.5,33.6,33.1,15.9,39.2
Devonport-Takapuna local board area,2019,10500,20200,20000,9800,60600,17.4,33.3,33,16.2,39.5
Devonport-Takapuna local board area,2020,10400,20100,20300,10200,61000,17.1,33,33.2,16.7,40
Devonport-Takapuna local board area,2021,10000,19300,20100,10500,59900,16.7,32.3,33.5,17.6,40.7
Henderson-Massey local board area,2018,27600,48000,36100,12900,124600,22.2,38.5,29,10.3,33.1
Henderson-Massey local board area,2019,28100,48600,36800,13100,126600,22.2,38.4,29,10.4,33.4
Henderson-Massey local board area,2020,28600,49400,37500,13600,129100,22.2,38.3,29,10.5,33.6
Henderson-Massey local board area,2021,28700,49200,37700,13900,129600,22.1,38,29.1,10.8,33.9
Waitākere Ranges local board area,2018,11500,18200,18800,5700,54200,21.2,33.6,34.7,10.4,36.7
Waitākere Ranges local board area,2019,11500,18300,19000,5900,54600,21,33.4,34.8,10.8,37
Waitākere Ranges local board area,2020,11600,18600,19300,6200,55700,20.9,33.5,34.6,11.1,37.1
Waitākere Ranges local board area,2021,11600,18600,19300,6400,55900,20.8,33.3,34.6,11.4,37.3
Aotea/Great Barrier local board area,2018,140,190,410,230,960,14.2,19.7,42.2,23.9,52.4
Aotea/Great Barrier local board area,2019,150,200,400,250,990,14.8,20.3,40,24.9,51.9
Aotea/Great Barrier local board area,2020,150,210,410,260,1030,15,20.5,39.6,24.9,52
Aotea/Great Barrier local board area,2021,160,220,420,250,1050,15.2,21.2,39.8,23.8,52.2
Waiheke local board area,2018,1460,2390,3570,1950,9360,15.6,25.5,38.1,20.8,46.4
Waiheke local board area,2019,1430,2460,3560,2030,9490,15,26,37.6,21.4,46.9
Waiheke local board area,2020,1400,2630,3610,2140,9780,14.3,26.9,36.9,21.9,47.3
Waiheke local board area,2021,1320,2630,3640,2200,9790,13.5,26.8,37.2,22.5,48
Waitematā local board area,2018,8100,50400,22900,7000,88500,9.2,57,25.9,7.9,31.5
Waitematā local board area,2019,8200,51600,23600,7400,90700,9,56.8,26,8.2,31.8
Waitematā local board area,2020,8200,52500,24300,7900,92900,8.8,56.5,26.2,8.6,32.2
Waitematā local board area,2021,7800,48400,24500,8300,89000,8.7,54.4,27.5,9.4,33.2
Whau local board area,2018,15700,33700,24700,10000,84100,18.7,40.1,29.3,11.9,34.3
Whau local board area,2019,16000,33900,25000,10300,85200,18.8,39.8,29.3,12.1,34.6
Whau local board area,2020,16100,34000,25400,10700,86100,18.7,39.4,29.5,12.4,35.1
Whau local board area,2021,16100,33000,25500,10900,85400,18.8,38.6,29.8,12.7,35.5
Albert-Eden local board area,2018,17100,43800,32400,10400,103700,16.5,42.2,31.2,10,34.1
Albert-Eden local board area,2019,16800,43800,32500,10700,103800,16.2,42.2,31.3,10.3,34.3
Albert-Eden local board area,2020,16600,44000,32700,11300,104600,15.9,42.1,31.3,10.8,34.5
Albert-Eden local board area,2021,16000,42400,32400,11600,102400,15.6,41.4,31.6,11.4,35.1
Puketāpapa local board area,2018,10500,25400,17700,7300,60900,17.2,41.6,29.1,12,33.8
Puketāpapa local board area,2019,10500,25500,17800,7600,61400,17.2,41.5,28.9,12.4,34.1
Puketāpapa local board area,2020,10700,25700,18000,8000,62400,17.1,41.2,28.9,12.8,34.4
Puketāpapa local board area,2021,10500,24800,18000,8300,61500,17.1,40.3,29.2,13.4,35.1
Ōrākei local board area,2018,15700,28200,30000,13800,87700,17.9,32.2,34.2,15.8,39.9
Ōrākei local board area,2019,15500,28300,29900,14300,88000,17.7,32.2,34,16.2,40.1
Ōrākei local board area,2020,15500,29100,30300,14900,89800,17.3,32.4,33.7,16.6,40.2
Ōrākei local board area,2021,15100,28700,30000,15300,89100,16.9,32.2,33.7,17.2,40.7
Maungakiekie-Tamaki local board area,2018,15800,33800,22400,8500,80500,19.6,41.9,27.9,10.6,33.1
Maungakiekie-Tamaki local board area,2019,16200,34400,22800,8800,82100,19.7,41.8,27.8,10.7,33.3
Maungakiekie-Tamaki local board area,2020,16100,34800,23200,9100,83300,19.4,41.8,27.8,11,33.6
Maungakiekie-Tamaki local board area,2021,15900,34500,23300,9400,83100,19.1,41.5,28.1,11.3,34
Howick local board area,2018,28400,52300,48700,20100,149400,19,35,32.6,13.4,37.3
Howick local board area,2019,28600,52700,49400,20800,151600,18.9,34.8,32.6,13.7,37.6
Howick local board area,2020,29100,53600,50400,21900,154900,18.8,34.6,32.5,14.1,37.9
Howick local board area,2021,29000,52600,50300,22600,154500,18.8,34,32.6,14.6,38.3
Māngere-Ōtāhuhu local board area,2018,21400,32300,22100,7000,82700,25.9,39,26.7,8.4,29.1
Māngere-Ōtāhuhu local board area,2019,21700,32900,22500,7100,84300,25.8,39,26.7,8.5,29.4
Māngere-Ōtāhuhu local board area,2020,21900,33500,23100,7500,86100,25.4,39,26.9,8.7,29.8
Māngere-Ōtāhuhu local board area,2021,21900,33600,23500,7700,86700,25.2,38.8,27.1,8.9,30.2
Ōtara-Papatoetoe local board area,2018,21600,38500,23100,7400,90500,23.8,42.5,25.5,8.1,29.2
Ōtara-Papatoetoe local board area,2019,21900,39000,23400,7600,92000,23.8,42.4,25.5,8.2,29.5
Ōtara-Papatoetoe local board area,2020,22500,39400,24000,7900,93700,24,42.1,25.6,8.4,29.9
Ōtara-Papatoetoe local board area,2021,22700,38500,24200,8100,93500,24.3,41.2,25.9,8.6,30.4
Manurewa local board area,2018,25500,40300,26800,8300,100900,25.3,40,26.6,8.2,29.6
Manurewa local board area,2019,25900,41200,27300,8600,102900,25.2,40,26.5,8.3,29.9
Manurewa local board area,2020,26600,42300,27800,9000,105800,25.2,40,26.3,8.5,30.2
Manurewa local board area,2021,27100,42600,28200,9400,107300,25.3,39.6,26.3,8.8,30.5
Papakura local board area,2018,14300,23900,16700,6300,61100,23.4,39.1,27.3,10.3,31.8
Papakura local board area,2019,15000,24800,17100,6500,63400,23.7,39.1,27,10.2,31.9
Papakura local board area,2020,15800,26500,17700,6800,66800,23.6,39.7,26.6,10.2,32
Papakura local board area,2021,16600,27400,18200,7000,69300,24,39.5,26.3,10.1,32.2
Franklin local board area,2018,16100,22600,27400,11600,77700,20.7,29,35.3,15,40.2
Franklin local board area,2019,16300,23100,27800,12100,79300,20.6,29.1,35.1,15.3,40.3
Franklin local board area,2020,16500,23700,28300,12800,81400,20.3,29.1,34.8,15.7,40.4
Franklin local board area,2021,16800,23900,28700,13300,82800,20.3,28.9,34.7,16.1,40.6
Thames-Coromandel district,2018,4600,6200,10400,9500,30700,14.9,20.3,34,30.9,53.4
Thames-Coromandel district,2019,4600,6300,10400,9900,31200,14.7,20.3,33.4,31.6,53.9
Thames-Coromandel district,2020,4600,6600,10600,10500,32400,14.3,20.5,32.8,32.4,54.3
Thames-Coromandel district,2021,4600,6700,10700,10900,33000,13.9,20.4,32.4,33.2,54.8
Hauraki district,2018,3800,5100,6900,4800,20700,18.5,24.6,33.6,23.3,46.6
Hauraki district,2019,3900,5200,6900,5000,21000,18.5,24.7,32.8,24,46.9
Hauraki district,2020,3900,5300,7000,5300,21500,18.3,24.9,32.4,24.4,47.1
Hauraki district,2021,4000,5300,7000,5500,21800,18.4,24.4,32,25.1,47.5
Waikato district,2018,18000,23600,26800,9800,78200,23.1,30.2,34.3,12.5,37.3
Waikato district,2019,18400,24400,27400,10300,80500,22.9,30.3,34,12.8,37.4
