OBJECTID,TA2022_V1_00,TA2022_V1_00_NAME,TA2022_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,Shape_Length,Shape_Area
1,001,Far North District,Far North District,6686.66677,7322.473551,875595.6394,7322472978
2,002,Whangarei District,Whangarei District,2712.130467,2854.126954,582872.8589,2854126596
3,003,Kaipara District,Kaipara District,3109.091172,3114.671099,903307.6155,3114668326
4,011,Thames-Coromandel District,Thames-Coromandel District,2207.958346,2299.63326,591617.0834,2299633631
5,012,Hauraki District,Hauraki District,1270.116352,1270.116352,311256.2373,1270113690
6,013,Waikato District,Waikato District,4403.805775,4516.476573,493211.772,4516474298
7,015,Matamata-Piako District,Matamata-Piako District,1755.347823,1755.347823,244694.1677,1755348402
8,016,Hamilton City,Hamilton City,110.3731335,110.9367326,70459.39503,110935334.4
9,017,Waipa District,Waipa District,1470.069571,1470.069571,248039.5057,1470070863
10,018,Ōtorohanga District,Otorohanga District,1999.184185,2064.383163,332669.4466,2064382419
11,019,South Waikato District,South Waikato District,1818.87596,1818.87596,240508.3418,1818876131
12,020,Waitomo District,Waitomo District,3534.838885,3548.219815,389291.8873,3548222461
13,021,Taupo District,Taupo District,6333.054437,6963.856345,492224.0682,6963851780
14,022,Western Bay of Plenty District,Western Bay of Plenty District,1944.41695,2110.739284,335515.3887,2110744275
15,023,Tauranga City,Tauranga City,141.9143202,181.6837874,99877.81907,181683374.3
16,024,Rotorua District,Rotorua District,2409.297793,2619.130701,279039.2469,2619131929
17,025,Whakatane District,Whakatane District,4450.089054,4464.802066,396822.3754,4464797899
18,026,Kawerau District,Kawerau District,23.56207482,23.56207482,25998.28319,23562089.95
19,027,Ōpōtiki District,Opotiki District,3089.783479,3100.632409,455546.8498,3100634141
20,028,Gisborne District,Gisborne District,8385.292752,8385.292752,690772.0421,8385292761
21,029,Wairoa District,Wairoa District,4078.449763,4130.247064,462547.6789,4130243275
22,030,Hastings District,Hastings District,5226.708086,5226.708086,555146.9382,5226707313
23,031,Napier City,Napier City,105.0510255,105.9400715,71897.25218,105940574.7
24,032,Central Hawke's Bay District,Central Hawke's Bay District,3332.999642,3332.999642,345790.4328,3332997397
25,033,New Plymouth District,New Plymouth District,2205.598572,2205.598572,376937.8419,2205597445
26,034,Stratford District,Stratford District,2163.425453,2163.425453,410331.4326,2163423989
27,035,South Taranaki District,South Taranaki District,3575.08419,3575.08419,374642.7727,3575083635
28,036,Ruapehu District,Ruapehu District,6734.414912,6734.414912,645990.2972,6734418277
29,037,Whanganui District,Whanganui District,2373.273313,2373.273313,426906.0941,2373277262
30,038,Rangitikei District,Rangitikei District,4483.912258,4483.912258,642172.4044,4483911632
31,039,Manawatu District,Manawatu District,2566.586466,2566.586466,334958.9551,2566585323
32,040,Palmerston North City,Palmerston North City,394.7430759,394.7430759,108520.8201,394740682.8
33,041,Tararua District,Tararua District,4364.650693,4364.650693,421649.8166,4364615953
34,042,Horowhenua District,Horowhenua District,1063.906149,1063.906149,161936.328,1063907008
35,043,Kapiti Coast District,Kapiti Coast District,731.5200783,731.5200783,185883.9849,731519973
36,044,Porirua City,Porirua City,174.8018621,182.473417,89352.69228,182475132.4
37,045,Upper Hutt City,Upper Hutt City,539.876103,539.876103,128079.8164,539875531.7
38,046,Lower Hutt City,Lower Hutt City,376.4035718,376.5318408,128655.8658,376531705.7
39,047,Wellington City,Wellington City,289.9100455,290.0462303,130606.2996,290045253
40,048,Masterton District,Masterton District,2300.168286,2300.168286,332415.9114,2300206715
41,049,Carterton District,Carterton District,1179.910165,1179.910165,321991.5416,1179909345
42,050,South Wairarapa District,South Wairarapa District,2387.754479,2457.84247,320014.3239,2457843610
43,051,Tasman District,Tasman District,9616.361874,14800.2563,759488.9868,14800254978
44,052,Nelson City,Nelson City,422.1936008,447.2115423,133821.5496,447212319.4
45,053,Marlborough District,Marlborough District,10457.792,12484.58989,694849.2272,12484596316
46,054,Kaikoura District,Kaikoura District,2046.807923,2046.807923,314042.6882,2046808394
47,055,Buller District,Buller District,7943.3523,7949.706616,747006.2671,7949709573
48,056,Grey District,Grey District,3474.44231,3515.587014,348190.1022,3515590982
49,057,Westland District,Westland District,11827.85898,11889.07438,1003231.457,11889070623
50,058,Hurunui District,Hurunui District,8640.963679,8654.50141,579119.0216,8654499394
51,059,Waimakariri District,Waimakariri District,2217.12453,2217.12453,266336.5632,2217126796
52,060,Christchurch City,Christchurch City,1415.469373,1608.602117,323655.6391,1608603938
53,062,Selwyn District,Selwyn District,6381.147873,6552.886487,515525.0386,6552886418
54,063,Ashburton District,Ashburton District,6181.450937,6189.514871,419614.521,6189512713
55,064,Timaru District,Timaru District,2732.406422,2733.032657,443913.3569,2733034503
56,065,Mackenzie District,Mackenzie District,7138.590553,7442.372256,539496.756,7442372692
57,066,Waimate District,Waimate District,3554.44645,3583.061737,287842.2786,3583062342
58,067,Chatham Islands Territory,Chatham Islands Territory,793.874747,13577.68922,496342.7482,13577688659
59,068,Waitaki District,Waitaki District,7107.943203,7216.758242,736881.1551,7216757227
60,069,Central Otago District,Central Otago District,9933.326702,9968.354664,633802.7582,9968355738
61,070,Queenstown-Lakes District,Queenstown-Lakes District,8719.70387,9375.193509,603503.6028,9375193113
62,071,Dunedin City,Dunedin City,3286.272551,3350.435563,437444.8502,3350435280
63,072,Clutha District,Clutha District,6334.474345,6369.504078,586079.2204,6369507614
64,073,Southland District,Southland District,29574.53477,31084.45962,2400914.837,31084455491
65,074,Gore District,Gore District,1253.854773,1253.854773,234515.9115,1253847616
66,075,Invercargill City,Invercargill City,389.8793556,495.32618,128166.8238,495328188.2
67,076,Auckland,Auckland,4941.127913,16156.20627,660973.433,16156208405
68,999,Area Outside Territorial Authority,Area Outside Territorial Authority,30.05800846,127022.927,13543698.18,1.27023E+11
